Id,Prediction
17000,1
17001,0
17002,0
17003,1
17004,0
17005,0
17006,1
17007,1
17008,0
17009,1
17010,1
17011,0
17012,1
17013,1
17014,0
17015,1
17016,0
17017,1
17018,0
17019,1
17020,1
17021,1
17022,0
17023,1
17024,0
17025,0
17026,1
17027,1
17028,0
17029,0
17030,1
17031,1
17032,0
17033,1
17034,1
17035,0
17036,1
17037,0
17038,1
17039,0
17040,0
17041,1
17042,0
17043,0
17044,1
17045,1
17046,1
17047,0
17048,1
17049,0
17050,0
17051,0
17052,0
17053,1
17054,1
17055,1
17056,1
17057,0
17058,0
17059,1
17060,1
17061,0
17062,0
17063,1
17064,1
17065,1
17066,1
17067,0
17068,1
17069,1
17070,1
17071,0
17072,1
17073,1
17074,0
17075,0
17076,1
17077,0
17078,0
17079,0
17080,0
17081,1
17082,0
17083,1
17084,1
17085,1
17086,1
17087,1
17088,1
17089,0
17090,0
17091,1
17092,1
17093,1
17094,1
17095,1
17096,1
17097,0
17098,0
17099,1
17100,0
17101,1
17102,0
17103,0
17104,1
17105,0
17106,1
17107,0
17108,1
17109,1
17110,0
17111,0
17112,0
17113,0
17114,0
17115,1
17116,0
17117,0
17118,1
17119,0
17120,0
17121,1
17122,1
17123,0
17124,0
17125,1
17126,1
17127,1
17128,1
17129,1
17130,1
17131,1
17132,1
17133,1
17134,1
17135,0
17136,1
17137,1
17138,0
17139,0
17140,1
17141,0
17142,0
17143,0
17144,1
17145,0
17146,1
17147,1
17148,1
17149,1
17150,0
17151,0
17152,0
17153,1
17154,1
17155,1
17156,1
17157,1
17158,1
17159,1
17160,1
17161,1
17162,1
17163,0
17164,1
17165,1
17166,1
17167,1
17168,0
17169,0
17170,1
17171,1
17172,0
17173,0
17174,0
17175,0
17176,0
17177,0
17178,1
17179,1
17180,1
17181,0
17182,1
17183,1
17184,1
17185,1
17186,0
17187,1
17188,1
17189,1
17190,0
17191,0
17192,0
17193,1
17194,1
17195,1
17196,1
17197,1
17198,1
17199,1
17200,0
17201,1
17202,1
17203,1
17204,1
17205,0
17206,1
17207,1
17208,1
17209,1
17210,1
17211,0
17212,1
17213,0
17214,1
17215,1
17216,1
17217,0
17218,0
17219,1
17220,1
17221,0
17222,0
17223,1
17224,1
17225,0
17226,1
17227,1
17228,1
17229,1
17230,1
17231,1
17232,0
17233,1
17234,0
17235,1
17236,1
17237,1
17238,1
17239,1
17240,0
17241,1
17242,1
17243,0
17244,0
17245,1
17246,1
17247,1
17248,0
17249,1
17250,0
17251,0
17252,0
17253,0
17254,1
17255,0
17256,0
17257,0
17258,1
17259,0
17260,0
17261,0
17262,0
17263,1
17264,0
17265,1
17266,1
17267,1
17268,1
17269,1
17270,0
17271,0
17272,1
17273,0
17274,1
17275,1
17276,0
17277,0
17278,1
17279,0
17280,0
17281,0
17282,0
17283,0
17284,1
17285,1
17286,0
17287,1
17288,0
17289,1
17290,1
17291,1
17292,0
17293,0
17294,0
17295,0
17296,0
17297,1
17298,1
17299,1
17300,1
17301,0
17302,0
17303,0
17304,1
17305,0
17306,1
17307,0
17308,0
17309,0
17310,1
17311,1
17312,0
17313,1
17314,1
17315,0
17316,1
17317,0
17318,1
17319,1
17320,1
17321,1
17322,1
17323,1
17324,0
17325,1
17326,1
17327,0
17328,1
17329,1
17330,1
17331,1
17332,1
17333,1
17334,1
17335,1
17336,0
17337,0
17338,0
17339,1
17340,0
17341,0
17342,1
17343,0
17344,0
17345,1
17346,0
17347,1
17348,0
17349,1
17350,1
17351,1
17352,0
17353,0
17354,1
17355,1
17356,1
17357,1
17358,1
17359,1
17360,1
17361,1
17362,0
17363,0
17364,0
17365,1
17366,1
17367,1
17368,0
17369,0
17370,1
17371,1
17372,1
17373,1
17374,1
17375,1
17376,0
17377,0
17378,0
17379,1
17380,1
17381,1
17382,1
17383,1
17384,1
17385,0
17386,0
17387,0
17388,1
17389,1
17390,1
17391,0
17392,1
17393,1
17394,1
17395,1
17396,1
17397,1
17398,0
17399,1
17400,0
17401,0
17402,1
17403,1
17404,1
17405,1
17406,1
17407,0
17408,0
17409,0
17410,0
17411,1
17412,0
17413,1
17414,0
17415,0
17416,0
17417,1
17418,0
17419,0
17420,0
17421,1
17422,1
17423,1
17424,0
17425,0
17426,0
17427,1
17428,1
17429,0
17430,1
17431,0
17432,1
17433,0
17434,1
17435,1
17436,0
17437,0
17438,1
17439,1
17440,0
17441,0
17442,1
17443,1
17444,0
17445,0
17446,1
17447,1
17448,0
17449,0
17450,1
17451,1
17452,1
17453,0
17454,1
17455,1
17456,0
17457,1
17458,1
17459,1
17460,0
17461,0
17462,0
17463,0
17464,1
17465,1
17466,0
17467,1
17468,0
17469,1
17470,0
17471,1
17472,1
17473,1
17474,0
17475,0
17476,1
17477,0
17478,1
17479,1
17480,0
17481,1
17482,1
17483,0
17484,1
17485,1
17486,0
17487,0
17488,1
17489,0
17490,1
17491,1
17492,1
17493,1
17494,1
17495,0
17496,1
17497,0
17498,1
17499,1
17500,1
17501,0
17502,1
17503,1
17504,0
17505,1
17506,1
17507,1
17508,0
17509,1
17510,1
17511,1
17512,1
17513,0
17514,1
17515,1
17516,1
17517,1
17518,1
17519,1
17520,1
17521,0
17522,1
17523,1
17524,0
17525,1
17526,1
17527,1
17528,1
17529,1
17530,1
17531,1
17532,1
17533,1
17534,0
17535,1
17536,0
17537,1
17538,1
17539,1
17540,0
17541,0
17542,1
17543,0
17544,1
17545,1
17546,0
17547,0
17548,1
17549,1
17550,1
17551,1
17552,1
17553,0
17554,0
17555,0
17556,0
17557,1
17558,0
17559,1
17560,0
17561,1
17562,1
17563,1
17564,1
17565,1
17566,0
17567,0
17568,1
17569,0
17570,0
17571,1
17572,1
17573,0
17574,0
17575,1
17576,1
17577,1
17578,0
17579,0
17580,1
17581,1
17582,0
17583,1
17584,0
17585,1
17586,1
17587,0
17588,0
17589,1
17590,0
17591,1
17592,1
17593,1
18000,1
18001,0
18002,0
18003,0
18004,0
18005,1
18006,0
18007,1
18008,0
18009,1
18010,1
18011,0
18012,1
18013,0
18014,1
18015,0
18016,1
